category;question;answer1;answer2;answer3;answer4;correct;image
Aula 02 - Primeiras Sociedades;Qual sitio de caçadores-coletores (~9.500 AEC) possui pilares monumentais em 'T' esculpidos?;Jerico;Çatalhöyük;Göbekli Tepe;Ur;2;https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/G%C3%B6bekli_Tepe%2C_Urfa.jpg/3840px-G%C3%B6bekli_Tepe%2C_Urfa.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Aula 02 - Primeiras Sociedades;Qual o fator determinante para a construção de grandes monumentos e cidades como Çatalhöyük e Gobekli Tepe?;Revolução Agrícola;Técnicas construtivas com ferramentas de metal;Hierarquia social complexa;Invenção da escrita;2;
Aula 02 - Primeiras Sociedades;Evidências arqueológicas em Çatalhöyük mostram uma tecido urbano homogêneo, com casas do mesmo tamanho e sem edificações especiais. O que isto diz sobre esta sociedade?;Indica uma sociedade sem forte hierarquia;Indica a presença de poderosas instituições religiosas;Indica a existência de reis na sociedade;Calcario;0;
Aula 02 - Primeiras Sociedades;Qual foi a utilidade primaria para a qual se desenvolveu a escrita cuneiforme na Mesopotamia?;Escrever poemas epicos;Enviar cartas diplomaticas;Manter estoque e contabilidade;Registrar leis e codigos;2;
Aula 02 - Primeiras Sociedades;O que garantia a padronizacao e pureza dos produtos de Uruk?;A fiscalizacao militar;O selo real do rei;O peso fixo em bronze;A fabricação sob tutela do templo-fábrica;3;
Aula 02 - Primeiras Sociedades;Em Tell es-Sawwan, qual inovacao construtiva regional misturava barro e palha secada em moldes?;Paredes de taipas de pilão;Placas de pedra polida;Blocos de concreto de cal;Tijolos de adubo/barro;3;
Aula 03 - Egito Antigo;Qual piramide do farao Snefru (c. 2600 AEC) e considerada a primeira com faces perfeitamente retas?;Piramide de Djoser;Piramide Curvada;Piramide em Meidum;Piramide Vermelha;2;https://upload.wikimedia.org/wikipedia/commons/a/ad/Meidoum03.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
Aula 03 - Egito Antigo;Qual instrumento cientifico secreto era usado pelos sacerdotes egipcios para medir e prever as cheias do Nilo?;Clepsidra;Groma;Astrolabio;Nilometro;3;https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c1/Assuan_Elephantine_Nilometer_14.JPG/1920px-Assuan_Elephantine_Nilometer_14.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Aula 03 - Egito Antigo;O termo 'Mastaba', que designa as primeiras tumbas trapezoidais egipcias, significa originalmente o que em arabe?;Banco de pedra;Casa eterna;Montanha sagrada;Escada ao ceu;0;
Aula 03 - Egito Antigo;Qual material leve e local era predominantemente usado nas casas e vilas operarias como Deir-el-Medina?;Pedras de basalto;Tijolos de barro;Placas de marmore;Blocos de calcario;1;
Aula 03 - Egito Antigo;Como o farao provava sua capacidade de governar no Império Novo?;Debates no senado;Poderio militar e punição de dissidentes;Construção de pirâmides;Procissões religiosas pelo território;3;
Aula 03 - Egito Antigo;Durante o Imperio Novo, qual povo invasor introduziu no Egito o carro de guerra puxado por cavalos e o arco composto?;Assirios;Persas;Hicsos;Hititas;2;
Aula 04 - Mundo Antigo e Grécia;Em qual pedra vulcanica distante as elites olmecas encomendaram suas famosas cabecas colossais?;Arenito;Marmore;Granito;Basalto;3;https://upload.wikimedia.org/wikipedia/commons/0/00/Cabeza_Colosal_n%C2%BA1_del_Museo_Xalapa.jpg?utm_source=es.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
Aula 04 - Mundo Antigo e Grécia;Qual era a funcao primordial do edificio do templo grego classico?;Abrigar a estatua da divindade;Servir de deposito administrativo;Realizar sacrificios internos;Reunir a assembleia de cidadaos;0;https://upload.wikimedia.org/wikipedia/commons/d/da/The_Parthenon_in_Athens.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
Aula 04 - Mundo Antigo e Grécia;Quais elementos os templos da Grécia Clássico herdaram dos templos arcaicos na Etolia (c. 950 AEC) possuía paredes de barro, teto de palha e uma cella alongada?;Planta retangular com colunata em volta;Cúpulas centrais;Paredes de mármore e pedra;Formato piramidal;0;images/grecia1.png
Aula 04 - Mundo Antigo e Grécia;Quais sao as tres ordens arquitetonicas desenvolvidas e refinadas no mundo grego?;Dórica, Jônica e Coríntia;Ativa, Passiva e Neutra;Romana, Grega e Egípcia;Toscana, Compósita e Dórica;0;https://upload.wikimedia.org/wikipedia/commons/6/6a/Classical_orders_from_the_Encyclopedie.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
Aula 04 - Mundo Antigo e Grécia;Qual o nome da monumental tumba em em Micenas que inspirou este projeto de Philip Johnson?;Templo de Hera;Portal dos Leoes;Tesouro de Atreus;Palacio de Cnossos;2;https://theglasshouse.org/wp-content/uploads/2015/02/GH_6_15_2017-Shot-12-1374x1024.jpg
Aula 05 - Roma Antiga;Qual elemento construtivo se tornou predominante na arquitetura romana, dando origem a abobadas e domos?;Colunata;Arco;Dintel;Contraforte;1;
Aula 05 - Roma Antiga;Qual colossal anfiteatro imperial em Roma dependia de arcos e abobadas de concreto para sua estrutura?;Panteao;Basilica de Magencio;Coliseu;Termas de Caracala;2;https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/Colosseo_2020.jpg/3840px-Colosseo_2020.jpg?utm_source=pt.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Aula 05 - Roma Antiga;Quais eram os tres componentes do revolucionario concreto romano (opus caementicium)?;Cal, areia e troncos de madeira;Gesso, argila e cascalho;Cimento Portland, areia e agua;Cal hidratada, pozzolana e pedras;3;
Aula 05 - Roma Antiga;Qual imperador romano ordenou a construcao da Domus Aurea, famosa pela sala de jantar octogonal rotatoria?;Augusto;Adriano;Nero;Trajano;2;
Aula 05 - Roma Antiga;Quais eram os três elementos que a boa arquitetura deveria portar, segunda Marcos Vitruvio Polio?;Utilitas, Decorum e Venestas;Firmitas, Oikonomias e Bonitas;Firmitas, Utilitas e Venustas;Firmitas, Decorum e Rhythmus;2;
Aula 05 - Roma Antiga;No Panteao de Adriano, qual e o diametro do oculus aberto no topo do domo de concreto?;8,3 metros;15,0 metros;3,0 metros;20,5 metros;0;
Aula 06 - Roma Cristã e Bizantina;Antes do Edito de Milão e da construção de basílicas públicas no século IV, onde os primeiros cristãos de Roma realizavam seus cultos e sepultamentos?;No interior de templos pagãos;Em arenas públicas de gladiadores;Em termas imperiais abandonadas;Em casas e catacumbas subterrâneas;3;https://i.pinimg.com/originals/2c/6a/6d/2c6a6da05c9ba99228068306657fbf82.jpg
Aula 06 - Roma Cristã e Bizantina;Qual tipologia cívica romana de justiça foi adotada por Constantino como modelo espacial para as primeiras grandes igrejas cristãs?;Templo períptero;Terma imperial;Basílica;Anfiteatro;2;Images/latrao.png
Aula 06 - Roma Cristã e Bizantina;Qual elemento arquitetônico perpendicular à nave central foi introduzido na antiga Basílica de São Pedro para destacar o martyrium do apóstolo?;Óculo;Cúpula sobre pendentes;Nártex externo;Transepto;3;
Aula 06 - Roma Cristã e Bizantina;O Mausoléu de Santa Constança (c. 350 d.C.) em Roma é um clássico exemplo de qual formato de planta arquitetônica paleocristã?;Planta de cruz latina alongada;Planta basilical de cinco naves;Planta centralizada circular;Planta octogonal assimétrica;2;
Aula 06 - Roma Cristã e Bizantina;Quem foram os dois matemáticos e arquitetos convocados pelo imperador Justiniano para projetar a monumental Hagia Sophia (532–537 d.C.) em Constantinopla?;Vitrúvio e Apolodoro de Damasco;Rabírio e Odo de Metz;Bramante e Michelangelo;Antêmio de Tralles e Isidoro de Mileto;3;https://upload.wikimedia.org/wikipedia/commons/d/d8/Aya_Sofia%2C_Constantinople_%28BM_1889%2C0603.120%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
Aula 06 - Roma Cristã e Bizantina;Qual inovação estrutural em alvenaria permitiu sustentar a enorme cúpula circular de Hagia Sophia sobre uma base quadrangular de quatro arcos?;Contrafortes voadores;Arquitraves de madeira;Colunas dóricas empilhadas;Pendentes (peanhas);3;
Aula 06 - Roma Cristã e Bizantina;Devido ao declínio técnico da cantaria no século IV, de onde eram retiradas as colunas de mármore usadas nas primeiras basílicas cristãs de Roma?;Moldadas em concreto no local;Importadas de pedreiras da China;Reaproveitadas de antigos edifícios pagãos;Esculpidas em madeira de cedro;2;
Aula 06 - Roma Cristã e Bizantina;Qual igreja de planta octogonal centrada em Ravena (inaugurada em 547 d.C.) é famosa por seus mosaicos do imperador Justiniano e da imperatriz Teodora?;Basílica de São João de Latrão;Igreja de Santa Sabina;Igreja de San Vitale;Panteão de Adriano;2;
Aula 07 - Teotihuacán e Islamismo;Qual o nome do estilo arquitetonico de Teotihuacan que alterna planos inclinados e paineis verticais?;Abóbada falsa;Talud-tablero;Cantaria retangular;Ordem dórica;1;https://upload.wikimedia.org/wikipedia/commons/e/eb/Teotihuacan_2.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
Aula 07 - Teotihuacán e Islamismo;Qual grande monumento octogonal de Jerusalem (691 CE) foi construído ao redor da rocha sagrada?;Cúpula da Rocha;Igreja do Santo Sepulcro;Mesquita Omíada;Mesquita de Al-Aqsa;0;https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1b/Jerusalem_DomeoftheRock_J65_%28cropped%29.JPG/3840px-Jerusalem_DomeoftheRock_J65_%28cropped%29.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Aula 07 - Teotihuacán e Islamismo;Qual tipologia característica das cidades do século 20 e 21 parecem estar presentes em Teotihuacan?;Redes de fast-food;Edifícios cívicos de debate;Piramides com grandes avenidas;Blocos de apartamentos multifamiliares;3;
Aula 07 - Teotihuacán e Islamismo;Qual centro de traducao e saber uniu filosofos como Al-Farabi e preservou textos gregos?;Universidade de Al-Azhar;Biblioteca de Alexandria;Casa da Sabedoria de Bagdad;Academia de Atenas;2;
Avaliação P1 - AUPI;Na pólis grega, qual espaço no ponto mais elevado cumpria funções espirituais, em contraste com a ágora na área baixa?;Stoa;Gymnasium;Bouleuterion;Acrópole;3;https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2c/1029_Acropolis_of_Athens_in_Greece_at_night_Photo_by_Giles_Laurent.jpg/3840px-1029_Acropolis_of_Athens_in_Greece_at_night_Photo_by_Giles_Laurent.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Avaliação P1 - AUPI;Como se organizavam a iluminação e a ventilação das residências familiares (oikos) na Grécia Antiga?;Através de um pátio central descoberto;Por galerias subterrâneas conectadas;Por aberturas no telhado de cada quarto;Por grandes janelas voltadas para a rua;0;
Avaliação P1 - AUPI;Qual elemento servia como unidade básica (módulo) que regia o sistema de proporções de um templo na ordem dórica?;A seção (diâmetro) do fuste da coluna;A altura total do frontão;A largura do degrau do estilóbato;O comprimento da câmara interna (cella);0;https://www.classicist.org/assets/images/articles/Screen-Shot-2022-04-21-at-8.31.11-PM.png
Avaliação P1 - AUPI;O que viabilizou a mobilização massiva de contingente humano para erguer as obras monumentais no Antigo Egito?;Alianças comerciais com cidades-estado gregas;Trabalho exclusivo de escravos de guerras externas;Poder centralizado do Estado e gestão unificada da economia;Contratação de exércitos mercenários estrangeiros;2;
Avaliação P1 - AUPI;Qual avanço tecnológico permitiu à arquitetura romana alcançar grande autonomia estrutural em relação à grega?;Estruturas pré-fabricadas de ferro fundido;Técnica de tijolos de argila vidrada;Uso exclusivo de blocos de mármore entalhado;Domínio do concreto (opus caementicium);3;
